canonical_keyword,cluster_key,cluster_label,topical_silo,primary_entity,entity_type,parent_entity,intent,intent_detail,geo_modifier,keyword_count,total_volume,current_ranking_coverage_pct,average_current_position,recommended_page_type,recommended_action,suggested_url
mcdonald's menu,menu-hub__overview_menu,McDonald's Menu - overview menu,Brand Core,McDonald's Menu,menu_hub,,overview,overview_menu,,438,581900,0.0,,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/
mcdonald's breakfast menu,breakfast-menu__overview_menu,Breakfast Menu - overview menu,Breakfast,Breakfast Menu,menu_guide,,overview,overview_menu,,258,276190,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/
mcdvoice,mcdvoice__service_survey,McDVoice Survey - service survey,Customer Journey,McDVoice Survey,service_page,,service_task,service_survey,,115,128040,0.0,,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/
mcdonald's menu with prices 2025,menu-hub__price_value,McDonald's Menu - price value,Brand Core,McDonald's Menu,menu_hub,,commercial,price_value,,540,73570,0.0,,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/
mcdonald's big mac,burgers-big-mac__overview_general,Big Mac - overview general,Burgers,Big Mac,product_variant,Burgers Menu,overview,overview_general,,50,62660,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/big-mac/
mcchicken,chicken-mcchicken__overview_general,McChicken - overview general,Chicken & Fish,McChicken,product_variant,Chicken & Fish Menu,overview,overview_general,,67,47860,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/
mcdonald's chicken mcnuggets,mcvalue-chicken-mcnuggets__overview_general,Chicken McNuggets - overview general,Value & Deals,Chicken McNuggets,product_family,McValue Menu,overview,overview_general,,87,41870,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/
how much is a big mac,burgers-big-mac__price_value,Big Mac - price value,Burgers,Big Mac,product_variant,Burgers Menu,commercial,price_value,,144,36180,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/big-mac/
quarter pounder,burgers-quarter-pounder-with-cheese__overview_general,Quarter Pounder with Cheese - overview general,Burgers,Quarter Pounder with Cheese,product_variant,Burgers Menu,overview,overview_general,,46,31640,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/quarter-pounder-with-cheese/
mcdonalds $5 meal deal,extra-value-meals__price_value,Extra Value Meals - price value,Value & Deals,Extra Value Meals,menu_guide,,commercial,price_value,,11,30950,0.0,,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/extra-value-meals/
