entity_id,entity_name,entity_type,topical_silo,parent_entity,page_type,existing_page,target_url,category_url,alias_count,sample_aliases
bev-1-percent-low-fat-milk,1% Low Fat Milk,product_family,Beverages,Beverages & Drinks,family_section,Yes,https://mcdomenuusa.com/beverage-menu/,https://mcdomenuusa.com/menu/beverages-drinks/,1,1 percent low fat milk
bev-1-percent-low-fat-milk-jug,1% Low Fat Milk Jug,product_variant,Beverages,1% Low Fat Milk,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/1-percent-low-fat-milk-jug/,https://mcdomenuusa.com/menu/beverages-drinks/,1,1 percent low fat milk jug
beverages-drinks,Beverages & Drinks,menu_guide,Beverages,,guide,Yes,https://mcdomenuusa.com/beverage-menu/,https://mcdomenuusa.com/menu/beverages-drinks/,12,beverages and drinks | beverages and drinks prices | beverages and drinks menu | beverages and drinks menu prices | beverages and drinks with prices | mcdonalds drinks | mcdonalds beverage menu | mcdonalds drink menu | drinks | drink | fountain drinks | what drinks does mcdonalds have
bev-dasani-water,DASANI Water,product_variant,Beverages,Beverages & Drinks,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/dasani-water/,https://mcdomenuusa.com/menu/beverages-drinks/,1,dasani water
bev-frozen-coca-cola-classic,Frozen Coca-Cola Classic,product_family,Beverages,Beverages & Drinks,family_section,Yes,https://mcdomenuusa.com/beverage-menu/,https://mcdomenuusa.com/menu/beverages-drinks/,4,frozen coca cola classic | slushie | slushies | frozen drinks
bev-frozen-coca-cola-classic-large,Frozen Coca-Cola Classic Large,product_variant,Beverages,Frozen Coca-Cola Classic,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/frozen-coca-cola-classic-large/,https://mcdomenuusa.com/menu/beverages-drinks/,1,frozen coca cola classic large
bev-frozen-coca-cola-classic-medium,Frozen Coca-Cola Classic Medium,product_variant,Beverages,Frozen Coca-Cola Classic,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/frozen-coca-cola-classic-medium/,https://mcdomenuusa.com/menu/beverages-drinks/,1,frozen coca cola classic medium
bev-frozen-coca-cola-classic-small,Frozen Coca-Cola Classic Small,product_variant,Beverages,Frozen Coca-Cola Classic,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/frozen-coca-cola-classic-small/,https://mcdomenuusa.com/menu/beverages-drinks/,1,frozen coca cola classic small
bev-frozen-fanta-blue-raspberry,Frozen Fanta Blue Raspberry,product_family,Beverages,Beverages & Drinks,family_section,Yes,https://mcdomenuusa.com/beverage-menu/,https://mcdomenuusa.com/menu/beverages-drinks/,4,frozen fanta blue raspberry | slushie | slushies | frozen drinks
bev-frozen-fanta-blue-raspberry-large,Frozen Fanta Blue Raspberry Large,product_variant,Beverages,Frozen Fanta Blue Raspberry,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/frozen-fanta-blue-raspberry-large/,https://mcdomenuusa.com/menu/beverages-drinks/,1,frozen fanta blue raspberry large
bev-frozen-fanta-blue-raspberry-medium,Frozen Fanta Blue Raspberry Medium,product_variant,Beverages,Frozen Fanta Blue Raspberry,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/frozen-fanta-blue-raspberry-medium/,https://mcdomenuusa.com/menu/beverages-drinks/,1,frozen fanta blue raspberry medium
bev-frozen-fanta-blue-raspberry-small,Frozen Fanta Blue Raspberry Small,product_variant,Beverages,Frozen Fanta Blue Raspberry,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/frozen-fanta-blue-raspberry-small/,https://mcdomenuusa.com/menu/beverages-drinks/,1,frozen fanta blue raspberry small
bev-honest-kids-appley-ever-after,Honest Kids Appley Ever After,product_variant,Beverages,Beverages & Drinks,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/honest-kids-appley-ever-after/,https://mcdomenuusa.com/menu/beverages-drinks/,1,honest kids appley ever after
bev-hot-tea,Hot Tea,product_family,Beverages,Beverages & Drinks,family_section,Yes,https://mcdomenuusa.com/beverage-menu/,https://mcdomenuusa.com/menu/beverages-drinks/,1,hot tea
bev-hot-tea-any-size,Hot Tea Any size,product_variant,Beverages,Hot Tea,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/hot-tea-any-size/,https://mcdomenuusa.com/menu/beverages-drinks/,1,hot tea any size
bev-lemonade,Lemonade,product_family,Beverages,Beverages & Drinks,family_section,Yes,https://mcdomenuusa.com/beverage-menu/,https://mcdomenuusa.com/menu/beverages-drinks/,1,lemonade
bev-lemonade-large,Lemonade Large,product_variant,Beverages,Lemonade,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/lemonade-large/,https://mcdomenuusa.com/menu/beverages-drinks/,1,lemonade large
bev-lemonade-medium,Lemonade Medium,product_variant,Beverages,Lemonade,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/lemonade-medium/,https://mcdomenuusa.com/menu/beverages-drinks/,1,lemonade medium
bev-lemonade-small,Lemonade Small,product_variant,Beverages,Lemonade,item,Yes,https://mcdomenuusa.com/menu/beverages-drinks/lemonade-small/,https://mcdomenuusa.com/menu/beverages-drinks/,1,lemonade small
bev-mango-pineapple-smoothie,Mango Pineapple Smoothie,product_family,Beverages,Beverages & Drinks,family_section,Yes,https://mcdomenuusa.com/beverage-menu/,https://mcdomenuusa.com/menu/beverages-drinks/,2,mango pineapple smoothie | smoothies
