topical_silo,primary_entity,entity_type,parent_entity,cluster_count,keyword_count,total_volume,dominant_page_type,suggested_url,intent_mix
Brand Core,McDonald's Menu,menu_hub,,16,1619,691760,hub,https://mcdomenuusa.com/menu/,geo_price | nutrition_allergens | nutrition_caffeine | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value | timing_hours
Breakfast,Breakfast Menu,menu_guide,,8,469,302010,guide,https://mcdomenuusa.com/breakfast-menu/,geo_price | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Customer Journey,McDVoice Survey,service_page,,2,138,132390,service,https://mcdomenuusa.com/mcdvoice/,overview_general | service_survey
Burgers,Big Mac,product_variant,Burgers Menu,14,241,103030,item,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,availability_status | geo_price | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Chicken & Fish,McChicken,product_variant,Chicken & Fish Menu,9,285,100460,item,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,geo_price | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Value & Deals,Chicken McNuggets,product_family,McValue Menu,11,534,74960,family_section,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Burgers,Quarter Pounder with Cheese,product_variant,Burgers Menu,5,172,50190,item,https://mcdomenuusa.com/menu/burgers-menu/quarter-pounder-with-cheese/,nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Burgers,McDouble,product_variant,Burgers Menu,7,125,49040,item,https://mcdomenuusa.com/menu/burgers-menu/mcdouble/,comparison | geo_price | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Value & Deals,Extra Value Meals,menu_guide,,4,20,47970,guide,https://mcdomenuusa.com/extra-value-meals/,availability_status | overview_general | overview_menu | price_value
Breakfast,Hash Browns,product_variant,Breakfast Menu,7,241,44340,item,https://mcdomenuusa.com/menu/breakfast-menu/hash-browns/,nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Sweets & Treats,OREO McFlurry,product_variant,Sweets & Treats,7,240,42030,item,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/,geo_price | nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Burgers,Double Cheeseburger,product_variant,Burgers Menu,6,105,41040,item,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/,geo_price | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Value & Deals,Big Mac Meal,product_variant,Extra Value Meals,6,54,31690,item,https://mcdomenuusa.com/menu/extra-value-meals/big-mac-meal/,geo_price | nutrition_macros | overview_menu | price_value
Breakfast,Egg McMuffin,product_variant,Breakfast Menu,5,137,30730,item,https://mcdomenuusa.com/menu/breakfast-menu/egg-mcmuffin/,nutrition_ingredients | nutrition_macros | overview_general | price_value | timing_hours
Chicken & Fish,Filet-O-Fish,product_variant,Chicken & Fish Menu,4,178,27880,item,https://mcdomenuusa.com/menu/chicken-fish/filet-o-fish/,nutrition_macros | overview_general | overview_menu | price_value
Chicken & Fish,McCrispy,product_variant,Chicken & Fish Menu,4,47,25170,item,https://mcdomenuusa.com/menu/chicken-fish/mccrispy/,nutrition_ingredients | nutrition_macros | overview_general | price_value
Value & Deals,Shareables & Bundles,support_page,,3,174,22470,support,https://mcdomenuusa.com/shareables-bundles/,overview_general | overview_menu | price_value
Beverages,Soft Drink Small,product_variant,Soft Drink,6,228,21860,item,https://mcdomenuusa.com/menu/beverages-drinks/soft-drink-small/,nutrition_allergens | nutrition_caffeine | nutrition_ingredients | nutrition_macros | overview_general | price_value
Fries & Sides,World Famous Fries Small,product_variant,World Famous Fries,4,146,21170,item,https://mcdomenuusa.com/menu/fries-sides/world-famous-fries-small/,nutrition_macros | overview_general | overview_menu | price_value
Burgers,Double Quarter Pounder with Cheese,product_variant,Burgers Menu,5,46,20950,item,https://mcdomenuusa.com/menu/burgers-menu/double-quarter-pounder-with-cheese/,nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Sweets & Treats,Sweets & Treats,menu_guide,,6,234,19670,guide,https://mcdomenuusa.com/sweets-treats/,nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
