keyword,canonical_keyword,volume,kd,cpc,topical_silo,primary_entity,entity_type,intent,intent_detail,cluster_label,recommended_page_type,target_live_url,target_local_url,resolved_local_url,page_title,page_id,page_layer,edit_mode,action_taken,coverage_status,coverage_signal,page_word_count,exact_present,canonical_present,entity_present,intent_signal_present,status_code,edit_url,support_key,managed_key,evidence_snippet
mcdonald's menu,mcdonald's menu,507000,55,0.02,Brand Core,McDonald's Menu,menu_hub,overview,overview_menu,McDonald's Menu - overview menu,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Exact keyword present,Exact keyword string found on the mapped rendered page,12739,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"ce list ↓ M McDonald's Menu Prices USA McDonald’s Full Menu USA Full Menu Guide McDonald’s Menu Prices USA 2026 – Full Menu with Calories & Current Deals This is the complete McDonald’s USA menu guide for burgers, b"
mcdonald's breakfast menu,mcdonald's breakfast menu,116000,0,0.24,Breakfast,Breakfast Menu,menu_guide,overview,overview_menu,Breakfast Menu - overview menu,guide,https://mcdomenuusa.com/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,McDonald's Breakfast Menu Prices USA,192,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Exact keyword present,Exact keyword string found on the mapped rendered page,12822,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=192&action=edit,breakfast-menu,,"McDonald’s Breakfast Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
mcdonalds breakfast,mcdonald's breakfast menu,75000,0,0.47,Breakfast,Breakfast Menu,menu_guide,overview,overview_menu,Breakfast Menu - overview menu,guide,https://mcdomenuusa.com/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,McDonald's Breakfast Menu Prices USA,192,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,12822,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=192&action=edit,breakfast-menu,,"McDonald’s Breakfast Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
mcdvoice,mcdvoice,49000,0,0.04,Customer Journey,McDVoice Survey,service_page,service_task,service_survey,McDVoice Survey - service survey,service,https://mcdomenuusa.com/mcdvoice/,http://localhost/wordpress/mcdvoice/,http://localhost/wordpress/mcdvoice/,McDVoice Survey,1432,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Exact keyword present,Exact keyword string found on the mapped rendered page,9953,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1432&action=edit,mcdvoice,,"McDVoice Survey | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"""
mcdonalds breakfast menu,mcdonald's breakfast menu,44000,10,0.24,Breakfast,Breakfast Menu,menu_guide,overview,overview_menu,Breakfast Menu - overview menu,guide,https://mcdomenuusa.com/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,McDonald's Breakfast Menu Prices USA,192,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,12822,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=192&action=edit,breakfast-menu,,"McDonald’s Breakfast Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
mcchicken,mcchicken,30000,4,0.55,Chicken & Fish,McChicken,product_variant,overview,overview_general,McChicken - overview general,item,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,McChicken Price USA,428,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9458,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=428&action=edit,,chickenfish::mcchicken,"McChicken Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's big mac,mcdonald's big mac,30000,51,0.07,Burgers,Big Mac,product_variant,overview,overview_general,Big Mac - overview general,item,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,Big Mac Price USA,405,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9477,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=405&action=edit,,burgers::big-mac,"Big Mac Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
quarter pounder,quarter pounder,24000,4,0.1,Burgers,Quarter Pounder with Cheese,product_variant,overview,overview_general,Quarter Pounder with Cheese - overview general,item,https://mcdomenuusa.com/menu/burgers-menu/quarter-pounder-with-cheese/,http://localhost/wordpress/menu/burgers-menu/quarter-pounder-with-cheese/,http://localhost/wordpress/menu/burgers-menu/quarter-pounder-with-cheese/,Quarter Pounder with Cheese Price USA,407,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9523,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=407&action=edit,,burgers::quarter-pounder-with-cheese,"Quarter Pounder with Cheese Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organ"
mcdonalds $5 meal deal,mcdonalds $5 meal deal,22000,13,0.37,Value & Deals,Extra Value Meals,menu_guide,commercial,price_value,Extra Value Meals - price value,guide,https://mcdomenuusa.com/extra-value-meals/,http://localhost/wordpress/extra-value-meals/,http://localhost/wordpress/extra-value-meals/,McDonald's Extra Value Meals Prices USA,203,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,11530,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=203&action=edit,extra-value-meals,,"McDonald’s Extra Value Meals Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
mcdouble,mcdouble,19000,3,0.09,Burgers,McDouble,product_variant,overview,overview_general,McDouble - overview general,item,https://mcdomenuusa.com/menu/burgers-menu/mcdouble/,http://localhost/wordpress/menu/burgers-menu/mcdouble/,http://localhost/wordpress/menu/burgers-menu/mcdouble/,McDouble Price USA,412,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9442,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=412&action=edit,,burgers::mcdouble,"McDouble Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
